,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
73,9167,-76.256555,36.906347,0,0.377785057,0.217919797,0.629691422,0.93156749,3.138859034,134.258,19.6809,3.05249,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0073
74,9435,-76.223054,36.884542,0,0.246242791,0.134129465,0.512377441,0.805996954,2.050985813,2542.69,4.01893,10.8874,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0074
75,9557,-76.193111,36.877229,1,0.207308501,0.113034859,0.45960933,0.711496651,2.893671751,977.721,3.80623,6.02502,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0075
76,9589,-76.285726,36.874886,0,0.373028994,0.242713809,0.643694997,0.915237486,3.136663437,1478.3,7.91483,2.33985,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0076
77,9605,-76.206759,36.874315,0,0.221560702,0.119012773,0.476608843,0.756573677,2.661736012,307.438,3.47204,3.43659,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0077
78,9640,-76.2871,36.871846,1,0.371661723,0.240933359,0.645709395,0.916269243,3.097783566,2315.79,9.93094,2.41917,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0078
79,9666,-76.291932,36.868845,1,0.387754977,0.256045341,0.662917793,0.930028319,3.004947424,4171.66,3.60121,2.77149,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0079
80,9692,-76.299262,36.865871,1,0.424054086,0.291852236,0.69522047,0.958525538,2.8809762,2392.21,6.77923,2.00067,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0080
81,9884,-76.298182,36.854069,0,0.32945624,0.191936553,0.632887185,0.894465566,2.696064234,55.6777,18.0869,-0.9,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0081
82,9887,-76.273869,36.854424,1,0.274819523,0.143489867,0.581039488,0.862805426,2.918992996,1060.58,3.37751,1.73154,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0082
83,9994,-76.191896,36.846022,0,0.181591928,0.095860802,0.34377858,0.575176477,3.408158541,775.73,4.97851,7.98963,5.794,275.464,4.939,-0.67,1.153,0.211,2017-08-12 10:00:0083
84,10136,-76.286798,36.967086,1,0.07077948,0.046944745,0.630575597,1.005673289,2.76661253,620.164,3.82799,1.2655,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0084
85,10613,-76.256555,36.906347,0,0.041861542,0.03101257,0.796178222,1.309352517,3.213733196,134.258,19.6809,3.05249,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0085
86,10881,-76.223054,36.884542,0,0.207945451,0.139398813,0.63009727,1.052239776,2.171828032,2542.69,4.01893,10.8874,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0086
87,11003,-76.193111,36.877229,0,0.279004991,0.167327508,0.556235552,0.918805122,2.951066494,977.721,3.80623,6.02502,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0087
88,11035,-76.285726,36.874886,0,0.132360756,0.099251211,0.87103498,1.28826654,3.278991461,1478.3,7.91483,2.33985,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0088
89,11051,-76.206759,36.874315,0,0.252520502,0.161955386,0.58400619,0.978134394,2.734922647,307.438,3.47204,3.43659,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0089
90,11086,-76.2871,36.871846,0,0.136595458,0.103557184,0.873471439,1.287930965,3.196891069,2315.79,9.93094,2.41917,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0090
91,11112,-76.291932,36.868845,0,0.131683603,0.101474263,0.9063676,1.317783237,3.018045664,4171.66,3.60121,2.77149,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0091
92,11138,-76.299262,36.865871,0,0.114630289,0.089530081,0.971583605,1.382579684,2.756683588,2392.21,6.77923,2.00067,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0092
93,11330,-76.298182,36.854069,0,0.176290438,0.143219918,0.82957238,1.223921895,2.284441233,55.6777,18.0869,-0.9,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0093
94,11333,-76.273869,36.854424,1,0.201168329,0.156286627,0.730716765,1.13762486,2.903913021,1060.58,3.37751,1.73154,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0094
95,11440,-76.191896,36.846022,1,0.384463578,0.236266315,0.445711434,0.756768405,3.446465015,775.73,4.97851,7.98963,8.612,207.056,4.912,-0.115,1.741,0.852,2017-08-12 11:00:0095
96,11582,-76.286798,36.967086,0,0.043652862,0.031878736,0.358859688,1.076452732,2.783162355,620.164,3.82799,1.2655,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0096
97,12059,-76.256555,36.906347,0,0.019420104,0.010565998,0.419646621,1.35121417,3.212584019,134.258,19.6809,3.05249,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0097
98,12327,-76.223054,36.884542,0,0.011934391,0.00870904,0.454188228,1.260185122,2.13248229,2542.69,4.01893,10.8874,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0098
99,12449,-76.193111,36.877229,0,0.014225684,0.010694731,0.486313492,1.197810173,2.99974966,977.721,3.80623,6.02502,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:0099
100,12481,-76.285726,36.874886,0,0.011378418,0.008796704,0.50538975,1.420627236,3.386519909,1478.3,7.91483,2.33985,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00100
101,12497,-76.206759,36.874315,0,0.012691302,0.009622438,0.474081188,1.230654836,2.758922577,307.438,3.47204,3.43659,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00101
102,12532,-76.2871,36.871846,0,0.010929487,0.008613681,0.50825721,1.424526453,3.286731005,2315.79,9.93094,2.41917,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00102
103,12558,-76.291932,36.868845,0,0.010114933,0.008125507,0.519438624,1.449466944,3.086963654,4171.66,3.60121,2.77149,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00103
104,12584,-76.299262,36.865871,0,0.008828661,0.007156397,0.538684368,1.497209907,2.803466797,2392.21,6.77923,2.00067,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00104
105,12776,-76.298182,36.854069,0,0.010280754,0.009045595,0.505746663,1.400212288,2.299328566,55.6777,18.0869,-0.9,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00105
106,12779,-76.273869,36.854424,0,0.010274278,0.009035778,0.475987822,1.338793278,2.941106796,1060.58,3.37751,1.73154,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00106
107,12886,-76.191896,36.846022,0,0.02084771,0.015343874,0.566055477,1.141232014,3.583885193,775.73,4.97851,7.98963,9.462,167.172,3.779,0.557,2.039,1.431,2017-08-12 12:00:00107
108,13028,-76.286798,36.967086,0,0.0194038,0.019003149,0.044066124,1.120518804,2.77324605,620.164,3.82799,1.2655,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00108
109,13505,-76.256555,36.906347,0,0.010075652,0.009945903,0.019560579,1.370774746,3.15789032,134.258,19.6809,3.05249,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00109
110,13773,-76.223054,36.884542,1,0.008101307,0.007345516,0.012807306,1.272992492,1.978608966,2542.69,4.01893,10.8874,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00110
111,13895,-76.193111,36.877229,0,0.014738103,0.012646314,0.016858928,1.214669108,2.980885983,977.721,3.80623,6.02502,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00111
112,13927,-76.285726,36.874886,0,0.007942234,0.007667128,0.011578639,1.432205915,3.442539454,1478.3,7.91483,2.33985,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00112
113,13943,-76.206759,36.874315,0,0.01086849,0.009561432,0.014006376,1.244661212,2.703247547,307.438,3.47204,3.43659,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00113
114,13978,-76.2871,36.871846,0,0.007559056,0.00729624,0.011115938,1.435642362,3.327665806,2315.79,9.93094,2.41917,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00114
115,14004,-76.291932,36.868845,0,0.00745699,0.007222761,0.010276148,1.459743023,3.107876301,4171.66,3.60121,2.77149,10.916,176.239,5.468,1.577,2.054,1.908,2017-08-12 14:00:00115
